"UseCase","DeclarationFiles","DeclarationCount","TotalMatches","References","SafeToRemove"
"RemovePermissionFromRoleUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Roles\RemovePermissionFromRoleUseCase.cs","1","2","1","NO"
"RemoveStudentFromClassUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ClassGroups\ManageClassStudentsUseCases.cs","1","3","2","NO"
"RemoveWaitlistEntryUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Waitlist\RemoveWaitlistEntryUseCase.cs","1","2","1","NO"
"RevokeModuleAccessUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ModuleAccess\RevokeModuleAccessUseCase.cs","1","5","4","NO"
"SendCommunicationUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UseCases\Communications\SendCommunicationUseCase.cs","1","4","3","NO"
"SendNotificationUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UseCases\SendNotificationUseCase.cs","1","2","1","NO"
"SetupWizardUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Setup\SetupWizardUseCase.cs","1","5","4","NO"
"TrackSearchAnalyticsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UseCases\TrackSearchAnalyticsUseCase.cs","1","4","3","NO"
"UnassignTeacherFromEntryUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Scheduling\UnassignTeacherFromEntryUseCase.cs","1","3","2","NO"
"UpdateAcademicYearUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\AcademicYears\UpdateAcademicYearUseCase.cs","1","4","3","NO"
"UpdateAnnouncementUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Announcements\UpdateAnnouncementUseCase.cs","1","2","1","NO"
"UpdateAssessmentUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Assessments\AssessmentUseCases.cs","1","2","1","NO"
"UpdateAssetUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Assets\UpdateAssetUseCase.cs","1","2","1","NO"
"UpdateClassGroupUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ClassGroups\UpdateClassGroupUseCase.cs","1","3","2","NO"
"UpdateClassroomUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Classrooms\UpdateClassroomUseCase.cs","1","2","1","NO"
"UpdateCommunicationTemplateUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UseCases\Communications\UpdateCommunicationTemplateUseCase.cs","1","2","1","NO"
"UpdateEventUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Events\UpdateEventUseCase.cs","1","2","1","NO"
"UpdateGuardianUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Guardians\UpdateGuardianUseCase.cs","1","5","4","NO"
"UpdateModuleUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ModuleAccess\UpdateModuleUseCase.cs","1","5","4","NO"
"UpdateNoticeUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Notices\UpdateNoticeUseCase.cs","1","2","1","NO"
"UpdateNotificationRuleUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UseCases\UpdateNotificationRuleUseCase.cs","1","2","1","NO"
"UpdateNotificationTemplateUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UseCases\UpdateNotificationTemplateUseCase.cs","1","2","1","NO"
"UpdatePermissionUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Permissions\UpdatePermissionUseCase.cs","1","2","1","NO"
"UpdatePlanUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UpdatePlanUseCase.cs","1","5","4","NO"
"UpdatePortalProfileUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Portal\UpdatePortalProfileUseCase.cs","1","3","2","NO"
"UpdateRoleUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Roles\UpdateRoleUseCase.cs","1","2","1","NO"
"UpdateSchoolUnitUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\SchoolUnits\UpdateSchoolUnitUseCase.cs","1","2","1","NO"
"UpdateServiceUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Services\UpdateServiceUseCase.cs","1","2","1","NO"
"UpdateStaffUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Staff\UpdateStaffUseCase.cs","1","5","4","NO"
"UpdateStudentGuardianUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\StudentGuardians\UpdateStudentGuardianUseCase.cs","1","5","4","NO"
"UpdateStudentPlanUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\StudentPlans\UpdateStudentPlanUseCase.cs","1","5","4","NO"
"UpdateStudentUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UpdateStudentUseCase.cs","1","3","2","NO"
"UpdateSubscriptionPlanUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Subscriptions\SubscriptionPlanUseCases.cs","1","4","3","NO"
"UpdateTenantSubscriptionUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Subscriptions\TenantSubscriptionUseCases.cs","1","4","3","NO"
"UpdateTimetableTemplateUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Timetabling\UpdateTimetableTemplateUseCase.cs","1","4","3","NO"
"UpsertGradeUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Assessments\AssessmentUseCases.cs","1","5","4","NO"
"ValidateImportUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Import\ValidateImportUseCase.cs","1","2","1","NO"
