"UseCase","DeclarationFiles","DeclarationCount","TotalMatches","References","SafeToRemove"
"CreatePermissionUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Permissions\CreatePermissionUseCase.cs","1","2","1","NO"
"CreatePlanUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\CreatePlanUseCase.cs","1","11","10","NO"
"CreateRoleUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Roles\CreateRoleUseCase.cs","1","2","1","NO"
"CreateSchoolUnitUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\SchoolUnits\CreateSchoolUnitUseCase.cs","1","6","5","NO"
"CreateServiceUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Services\CreateServiceUseCase.cs","1","4","3","NO"
"CreateStaffUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Staff\CreateStaffUseCase.cs","1","8","7","NO"
"CreateStudentGuardianUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\StudentGuardians\CreateStudentGuardianUseCase.cs","1","5","4","NO"
"CreateStudentPlanUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\StudentPlans\CreateStudentPlanUseCase.cs","1","5","4","NO"
"CreateStudentUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\CreateStudentUseCase.cs","1","11","10","NO"
"CreateSubscriptionPlanUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Subscriptions\SubscriptionPlanUseCases.cs","1","4","3","NO"
"CreateTenantSubscriptionUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Subscriptions\TenantSubscriptionUseCases.cs","1","4","3","NO"
"CreateTimetableTemplateUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Timetabling\CreateTimetableTemplateUseCase.cs","1","4","3","NO"
"CreateWaitlistEntryUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Waitlist\CreateWaitlistEntryUseCase.cs","1","2","1","NO"
"DeleteAcademicYearUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\AcademicYears\DeleteAcademicYearUseCase.cs","1","4","3","NO"
"DeleteAnnouncementUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Announcements\DeleteAnnouncementUseCase.cs","1","2","1","NO"
"DeleteAssessmentUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Assessments\AssessmentUseCases.cs","1","2","1","NO"
"DeleteAssetUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Assets\DeleteAssetUseCase.cs","1","2","1","NO"
"DeleteAttendanceUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Attendance\AttendanceUseCases.cs","1","3","2","NO"
"DeleteClassGroupUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ClassGroups\DeleteClassGroupUseCase.cs","1","3","2","NO"
"DeleteClassroomBookingUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ClassroomBookings\DeleteClassroomBookingUseCase.cs","1","2","1","NO"
"DeleteClassroomUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Classrooms\DeleteClassroomUseCase.cs","1","2","1","NO"
"DeleteClassScheduleUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ClassGroups\ManageClassSchedulesUseCases.cs","1","3","2","NO"
"DeleteCommunicationTemplateUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UseCases\Communications\DeleteCommunicationTemplateUseCase.cs","1","2","1","NO"
"DeleteEventUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Events\DeleteEventUseCase.cs","1","2","1","NO"
"DeleteGradeUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Assessments\AssessmentUseCases.cs","1","4","3","NO"
"DeleteGuardianUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Guardians\DeleteGuardianUseCase.cs","1","5","4","NO"
"DeleteNoticeUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Notices\DeleteNoticeUseCase.cs","1","2","1","NO"
"DeleteNotificationRuleUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UseCases\DeleteNotificationRuleUseCase.cs","1","2","1","NO"
"DeleteNotificationTemplateUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UseCases\DeleteNotificationTemplateUseCase.cs","1","2","1","NO"
"DeletePermissionUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Permissions\DeletePermissionUseCase.cs","1","2","1","NO"
"DeletePlanUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\DeletePlanUseCase.cs","1","5","4","NO"
"DeleteRoleUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Roles\DeleteRoleUseCase.cs","1","2","1","NO"
"DeleteSchoolUnitUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\SchoolUnits\DeleteSchoolUnitUseCase.cs","1","2","1","NO"
"DeleteServiceUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Services\DeleteServiceUseCase.cs","1","2","1","NO"
"DeleteStaffUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Staff\DeleteStaffUseCase.cs","1","5","4","NO"
"DeleteStudentGuardianUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\StudentGuardians\DeleteStudentGuardianUseCase.cs","1","5","4","NO"
"DeleteStudentPlanUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\StudentPlans\DeleteStudentPlanUseCase.cs","1","5","4","NO"
"DeleteStudentUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\DeleteStudentUseCase.cs","1","3","2","NO"
"DeleteSubscriptionPlanUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Subscriptions\SubscriptionPlanUseCases.cs","1","4","3","NO"
"DeleteTimetableTemplateUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Timetabling\DeleteTimetableTemplateUseCase.cs","1","4","3","NO"
"ExecuteImportUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Import\ExecuteImportUseCase.cs","1","2","1","NO"
"GenerateTimetableUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Scheduling\GenerateTimetableUseCase.cs","1","2","1","NO"
"GetAcademicYearByIdUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\AcademicYears\GetAcademicYearByIdUseCase.cs","1","2","1","NO"
"GetActiveAcademicYearUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\AcademicYears\GetActiveAcademicYearUseCase.cs","1","2","1","NO"
"GetAnnouncementByIdUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Announcements\GetAnnouncementByIdUseCase.cs","1","2","1","NO"
"GetAssetByIdUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Assets\GetAssetByIdUseCase.cs","1","6","5","NO"
